"","0","0.5","1","2","3","4","5","6","7","8"
"allmendb.ch",0,43,39,40,38,0,0,0,0,0
"allmendo.ch",0,38,34,33,33,0,0,0,0,0
"antelope.us",0,5,7,9,8,5,0,0,0,0
"ayora.es",0,0,29,35,33,0,0,0,0,0
"baddrt.de",0,0,31,34,35,30,0,0,0,0
"bamboo.cn",0,0,0,1,0,0,0,0,0,0
"bayrdrt.de",0,4,27,0,46,41,37,38,0,0
"bfl.us",0,19,26,23,22,0,0,0,0,0
"biddulph.ca",0,14,16,15,15,18,0,0,0,0
"bivensarm.us",0,0,0,41,54,47,55,61,41,37
"brokenh.au",0,0,6,1,1,4,0,0,0,0
"brookdale.ca",0,31,33,33,31,0,0,0,0,0
"capmcd.us",15,0,18,10,16,0,0,0,0,0
"capwhite.us",0,0,17,12,15,0,0,0,0,0
"cdpt_drt.us",0,0,36,0,0,0,0,0,0,0
"cedarsav.us",0,33,28,31,0,0,0,0,0,0
"cedartrait.us",0,25,23,23,24,0,0,0,0,0
"cerrillos.ar",0,0,23,21,25,27,0,0,0,0
"chacra.ar",0,0,7,13,11,10,0,0,0,0
"chang.cn",0,0,0,10,9,12,0,0,0,0
"charleville.au",0,0,1,1,0,0,0,0,0,0
"chilcasdrt.ar",0,34,32,21,9,9,4,0,0,0
"ciempoz.es",0,0,5,5,4,4,0,0,0,0
"cmss.us",0,14,11,17,15,0,0,0,0,0
"cobar.au",0,0,9,2,4,0,0,0,0,0
"cowidrt.ca",0,0,36,40,35,41,0,0,0,0
"credoj.au",0,0,23,15,18,18,0,0,0,0
"credom.au",0,0,30,23,20,19,0,0,0,0
"ebro.es",0,0,16,17,18,18,0,0,0,0
"eea.br",0,42,0,0,0,0,0,0,0,0
"elvadrt.ee",0,34,34,33,34,33,32,0,0,0
"esw.ca",0,17,17,16,20,19,0,0,0,0
"ethadb.au",0,0,9,8,14,4,0,0,0,0
"ethadn.au",0,0,4,5,8,3,0,0,0,0
"falls.au",0,0,25,24,0,0,0,0,0,0
"gmgranite.us",0,0,18,5,9,0,0,0,0,0
"gmmolar.us",0,0,23,5,12,0,0,0,0,0
"guaribas.br",0,0,10,22,18,0,0,0,0,0
"hard.us",0,15,16,18,20,14,0,0,0,0
"hoide.de",0,6,6,6,6,0,0,0,0,0
"hyide.de",0,2,3,2,3,0,0,0,0,0
"indiana.us",0,0,5,0,0,0,0,0,0,0
"jenadrt.de",0,31,26,37,33,37,32,0,0,0
"jilpanger.au",0,50,53,0,0,0,0,0,0,0
"jorndrt.us",0,0,9,13,0,0,0,0,0,0
"jrnchi.us",0,0,13,0,0,0,0,0,0,0
"kernb.ca",0,29,25,24,23,25,0,0,0,0
"kernnu.ca",0,25,23,18,21,22,0,0,0,0
"kinsella.ca",0,15,17,17,16,15,0,0,0,0
"kiskun.hu",0,27,21,0,0,0,0,0,0,0
"konzadrt.us",0,25,26,23,26,25,0,0,0,0
"kranz.de",2,0,2,2,2,2,2,0,0,0
"lcnorth.cl",0,26,0,19,0,0,0,0,0,0
"lcsouth.cl",0,30,0,16,0,0,0,0,0,0
"lygraint.no",0,34,35,37,0,0,0,0,0,0
"lygraold.no",0,36,32,33,0,0,0,0,0,0
"marcdrt.ar",0,31,23,22,17,0,21,0,0,0
"matador.ca",0,14,16,15,13,18,0,0,0,0
"mattheis.ca",9,0,13,11,9,0,0,0,0,0
"milparinka.au",17,0,6,0,4,4,0,0,0,0
"morient.ar",0,0,0,9,0,0,0,0,0,0
"naposta.ar",0,0,12,16,11,13,0,0,0,0
"nnss.us",0,0,29,0,0,0,0,0,0,0
"nplatte.us",0,18,15,11,17,0,0,0,0,0
"octc.us",5,0,5,0,0,0,0,0,0,0
"oklah.us",0,35,41,31,42,27,0,0,0,0
"oreaa.us",22,0,20,22,20,23,0,0,0,0
"oreac.us",19,0,18,16,19,18,0,0,0,0
"paike.ar",0,33,33,33,33,31,0,0,0,0
"passogavia.it",0,22,24,22,23,0,0,0,0,0
"pineta.es",0,0,25,22,0,0,0,0,0,0
"purdue.us",0,11,11,0,0,0,0,0,0,0
"qdtnorth.cl",0,26,0,18,0,0,0,0,0,0
"qdtsouth.cl",0,20,0,16,0,0,0,0,0,0
"quilpie.au",0,0,6,0,6,5,0,0,0,0
"rhijn.nl",0,33,24,22,20,17,0,0,0,0
"sand.us",0,9,33,0,0,0,0,0,0,0
"sclaudio.ar",3,5,7,6,6,0,0,0,0,0
"scruzh.us",0,20,19,28,33,0,37,0,0,0
"scruzl.us",0,16,10,15,21,0,15,0,0,0
"scruzm.us",0,11,12,12,18,0,19,0,0,0
"sevblack.us",0,0,11,0,0,0,0,0,0,0
"sevblue.us",0,0,5,0,0,0,0,0,0,0
"sevmixed.us",0,0,9,0,0,0,0,0,0,0
"slp.us",0,21,25,20,12,0,0,0,0,0
"spvdrt.ar",0,14,17,17,15,16,17,0,0,0
"teshio.jp",0,17,18,0,0,0,0,0,0,0
"ukulingadrt.za",0,0,40,45,0,0,0,0,0,0
"validate.fr",0,7,7,7,7,7,7,0,0,0
"yarradrt.au",0,0,13,5,8,10,7,0,0,0
